last_name,first_name,terms_elected,2021_Spring_total,2021_Spring_NGO_local,2021_Spring_business,2021_Spring_registered_lobbyists,2021_Spring_trade_unions,2021_Spring_others,Asterisk_2021_Spring,2021_Autumn_total,2021_Autumn_NGO_local,2021_Autumn_business,2021_Autumn_registered_lobbyists,2021_Autumn_trade_unions,2021_Autumn_others,Total_all_periods,End_term,Asterisk_2021_Autumn
Targamadzė,Vilija,1,23,3,4,0,4,12,2,21,1,0,0,2,18,44,,0
Alekna,Virgilijus,2,6,1,0,0,0,5,0,0,0,0,0,0,0,6,,0
Bakas,Vytautas,2,0,0,0,0,0,0,0,3,1,1,0,0,1,3,,0
Gapšys,Vytautas,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Juozapaitis,Vytautas,3,5,0,2,0,0,3,0,4,2,0,0,0,2,9,,0
Kernagis,Vytautas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mitalas,Vytautas,1,17,3,12,0,0,2,5,7,2,1,0,0,4,24,,0
Streikus,Zenonas ,2,5,2,1,0,0,2,0,3,0,1,0,0,2,8,,0
Balčytis,Zigmantas,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pavilionis,Žygimantas ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
