ID,num,,,
Gabrielė Černiauskaitė,0,,,
Gabrielė Stankūnaitė,0,,,
Gabrielė Vasiliauskaitė,0,,,
Gabrielė Vorobjovienė,2,,,
Gabrielė Žaidytė,0,,,
Gaila Matulytė,0,,,
Galina Bielinienė,0,,,
Gari Škoropad,0,,,
Gasparas Genzbigelis,0,,,
Gediminas Karalius,1,,,
Gediminas Česonis,1,,,
Gediminas Imbrasas,0,,,
Gediminas Juškevičius,0,,,
Gediminas Lapukas,4,,,
Gediminas Miškinis,1,,,
Gediminas Rutkauskas,0,,,
Gediminas Šiukštas,0,,,
Gediminas Švetkauskas,75,,,
Gediminas Vaičionis,36,,,
Gediminas Vaitkevičius,0,,,
Gema Želudkova,0,,,
Genė Vaškevičienė,0,,,
Genovaitė Palevičienė,0,,,
Germanas Politika,2,,,
Giedrė Kmitienė,0,,,
Giedrė Kuodytė-Mirkienė,0,,,
Giedrė Lastauskienė,1,,,
Giedrė Pupšytė,5,,,
Giedrė Ričkutė,5,,,
Giedrė Sankauskaitė,0,,,
Giedrė Skerniškienė,8,,,
Giedrė Stalauskienė,38,,,
Giedrė Statkevičiūtė,16,,,
Giedrė Švedienė,2,,,
Giedrė Truskauskienė,0,,,
Giedrė Vinikienė,0,,,
Giedrius Drukteinis,0,,,
Giedrius Krasauskas,2,,,
Giedrius Ladukas,0,,,
Giedrius Lingis,8,,,
Giedrius Mozūraitis,3,,,
Giedrius Sakalauskas,0,,,
Giedrius Viliūnas,5,,,
Ginas Dabašinskas,0,,,
Gintaras Adžgauskas,2,,,
Gintaras Džiovėnas,4,,,
Gintaras Goda,3,,,
Gintaras Kacevičius,17,,,
Gintaras Šidlauskas,3,,,
Gintaras Vilda,22,,,
Gintaras Žandaravičius,1,,,
Gintarė Geimanaitė,0,,,
Gintarė Gulbinė,0,,,
Gintarė Ivanauskaitė,8,,,
Gintarė Jakubonienė,0,,,
Gintarė Klovienė,5,,,
Gintarė Martikonytė,0,,,
Gintarė Šakalytė,8,,,
Gintarė Taluntytė,5,,,
Gintarė Valiūnaitė,0,,,
Gintaris Petrėnas,0,,,
Gintas Jasiulionis,1,,,
Gintas Umbrasas,0,,,
Gintas Vilkelis,0,,,
Gintautas Guobužas,0,,,
Gintautas Zenkevičius,0,,,
Gintautas Alekna,0,,,
Gintautas Astrauskas,0,,,
Gintautas Kvietkauskas,0,,,
Gintautas Marcinkevičius,0,,,
Gintautas Mežetis,0,,,
Gintautas Paluckas,0,,,
Gintautas Sodaitis,0,,,
Gintautas Vilkelis,0,,,
Gintautas Zinkevičius,0,,,
Gintarė Krušnienė,0,,,
Gintautė Žemaitytė,7,,,
Gintvilė Bagdonavičiūtė,0,,,
Gita Krukienė,15,,,
Gitana Aukštuolienė,2,,,
Gitana Juodagalvienė,0,,,
Gitana Matiekuvienė,1,,,
Goda Aleksaitė,3,,,
Goda Keso,15,,,
Gražina Kadžytė,0,,,
Gražina Lapėnienė,0,,,
Gražina Belian,55,,,
Gražina Bobelienė,15,,,
Gražina Gruzdienė,10,,,
Gražina Lapėnienė,0,,,
Gražina Ramanauskaitė-Tiumenevienė,4,,,
Gražina Sermontė,0,,,
Gražina Tarvydienė,1,,,
Gražina Vickutė,1,,,
Gražvydas Jakubauskas,1,,,
Greta Aukštakytė,0,,,
Greta Monika Tučkutė,74,,,
Greta Radiul,0,,,
Greta Šukytė,0,,,
Greta Zaburaitė,0,,,
Gvidas Karkauskas,0,,,
Gvidas Rutkauskas,0,,,
Gytis Andriulionis,18,,,
Gytis Gaurilčikas,0,,,
Gytis Kaminskas,1,,,
Gytis Mažeika,5,,,
Gytis Oganauskas,7,,,
Henrika Varnienė,58,,,
Henrikas Antanaitis,0,,,
Henrikas Narščius,0,,,
Henrikas Šiaudinis,0,,,
Ieva Čirūnaitė,0,,,
