last_name,first_name,terms_elected,2017_Spring_total,2017_Spring_NGO_local,2017_Spring_business,2017_Spring_registered_lobbyists,2017_Spring_trade_unions,2017_Spring_others,2017_Autumn_total,2017_Autumn_NGO_local,2017_Autumn_business,2017_Autumn_registered_lobbyists,2017_Autumn_trade_unions,2017_Autumn_others,2018_Spring_total,2018_Spring_NGO_local,2018_Spring_business,2018_Spring_registered_lobbyists,2018_Spring_trade_unions,2018_Spring_others,2018_Autumn_total,2018_Autumn_NGO_local,2018_Autumn_business,2018_Autumn_registered_lobbyists,2018_Autumn_trade_unions,2018_Autumn_others,2019_Spring_total,2019_Spring_NGO_local,2019_Spring_business,2019_Spring_registered_lobbyists,2019_Spring_trade_unions,2019_Spring_others,2019_Autumn_total,2019_Autumn_NGO_local,2019_Autumn_business,2019_Autumn_registered_lobbyists,2019_Autumn_trade_unions,2019_Autumn_others,2020_Spring_total,2020_Spring_NGO_local,2020_Spring_business,2020_Spring_registered_lobbyists,2020_Spring_trade_unions,2020_Spring_others,Total_all_periods,End_term
Kaminskas,Darius,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,1,0,0,0,5,1,3,0,0,1,13,0,2,0,0,11,1,1,0,0,0,0,23,
Karbauskis,Ramūnas,3,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,5,3,1,0,0,1,0,0,0,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,14,
Kasčiūnas ,Laurynas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kepenis,Dainius,1,2,0,0,0,0,2,7,2,3,0,0,2,6,2,1,0,1,2,9,2,1,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,
Kernagis,Vytautas,1,3,0,0,0,0,3,1,0,1,0,0,0,7,6,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
Kindurys,Gintautas,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,0,0,0,3,0,0,0,0,3,8,0,1,0,0,7,0,0,0,0,0,0,14,
Kirkilas,Gediminas,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,5,
Kirkutis,Algimantas,1,0,0,0,0,0,0,15,0,8,0,1,6,14,1,1,1,0,11,21,2,2,0,1,16,6,0,0,0,0,6,5,1,1,0,0,3,0,0,0,0,0,0,61,
Kravčionok,Vanda,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,5,0,1,1,2,1,1,0,1,0,0,0,6,
Kreivys,Dainius,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
